#CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited
15625759,"Rowley",729,"Male",30,9,2,1,151869,0
15803526,"Eremenko",685,"Male",30,3,1,0,63083,0
15675522,"Ko",628,"Female",30,9,2,1,74169,0
15641122,"Wei",684,"Male",30,2,2,1,83474,0
15586310,"Ting",578,"Male",30,4,1,1,112187,0
15645248,"Ho",510,"Female",30,0,2,1,130553,0
15726676,"Marshall",616,"Male",30,5,2,0,196109,0
15604482,"Chiemezie",850,"Male",30,2,1,1,5978,0
15787155,"Yang",514,"Male",30,7,1,0,125010,0
15774393,"Ch'ien",694,"Female",30,9,2,1,26960,0
15750803,"Jess",693,"Female",30,6,1,1,50457,0
15725166,"Newton",707,"Male",30,8,2,1,33159,0
15702919,"Collins",729,"Male",30,6,1,1,145111,0
15678910,"Ts'ai",680,"Female",30,8,1,1,16279,0
15682757,"Pardey",734,"Male",30,3,2,1,107640,0
15728669,"Knowles",584,"Female",30,8,1,1,177772,1
15739438,"Reed",539,"Male",30,0,2,1,160980,0
15677371,"Ko",629,"Female",30,2,1,1,19571,0
15568240,"Ting",492,"Female",30,10,2,0,146700,0
15693737,"Carr",627,"Female",30,4,2,1,129827,0
15731744,"Carslaw",692,"Male",30,2,2,0,130487,0
15805565,"Obiuto",691,"Male",30,7,1,1,21198,0
15694272,"Nkemakolam",673,"Male",30,1,1,1,77783,0
15720187,"Han",479,"Female",30,7,2,1,41880,0
15633922,"Gray",755,"Male",30,4,2,0,144183,0
15753719,"Rickards",547,"Female",30,9,1,1,77077,0
15592387,"Burke",566,"Male",30,5,1,1,54927,1
15686611,"Moss",495,"Male",30,10,1,0,172750,0
15730830,"Dale",752,"Female",30,3,2,1,104991,0
15603065,"Grubb",751,"Female",30,6,2,1,15766,0
15659098,"Toscano",669,"Male",30,7,1,0,19799,0
15780628,"Wu",633,"Female",30,6,2,0,41642,0
15652955,"Price",678,"Male",30,0,1,1,35113,0
15668958,"Chatfield",521,"Male",30,2,1,1,64300,0
15581479,"Archer",523,"Male",30,1,1,1,138177,0
15692317,"Craig",722,"Male",30,5,2,1,166377,0
15623828,"Akobundu",682,"Male",30,4,1,0,161465,0
15575581,"Dickson",614,"Female",30,3,2,1,54777,0
15752731,"Millar",615,"Female",30,9,1,1,87348,0
15639882,"She",528,"Male",30,2,2,1,50771,0
15804602,"Boyd",772,"Male",30,6,2,0,197238,0
15594864,"Huang",752,"Male",30,4,1,1,36886,0
15749482,"Zack",772,"Male",30,4,1,1,1790,0
15813132,"Chukwukadibia",696,"Male",30,4,1,1,193717,0
15671322,"Chiang",724,"Male",30,7,1,1,15217,0
15687752,"Griffin",641,"Male",30,2,2,0,7279,0
15584363,"Longstaff",824,"Male",30,0,1,1,162054,0
15572360,"Clark",683,"Male",30,10,1,0,79241,0
15690079,"Boniwell",591,"Male",30,8,2,0,50486,0
15650889,"Golubev",710,"Female",30,10,2,1,155594,0
15777826,"Wofford",643,"Male",30,5,1,1,165614,0
15789095,"T'ang",775,"Male",30,4,2,0,57461,0
15693904,"Chiang",685,"Female",30,4,2,0,194344,0
15797733,"Udobata",503,"Male",30,10,2,0,47310,0
15620507,"Siciliani",485,"Female",30,5,1,1,141148,0
15589221,"Kennedy",657,"Male",30,1,2,1,23318,0
15598782,"Pinto",755,"Female",30,6,2,0,62689,0
15716822,"Moen",646,"Male",30,5,1,1,12757,0
15625824,"Kornilova",596,"Male",30,6,4,1,41922,1
15686963,"Hardiman",680,"Female",30,3,1,1,160132,0
15807294,"Walker",653,"Female",30,2,2,1,96658,0
15810347,"Todd",662,"Female",30,9,2,0,157885,0
15745827,"Padovesi",617,"Male",30,3,1,1,142940,0
15669410,"Yevdokimova",683,"Male",30,8,2,0,24939,0
15642833,"Akubundu",608,"Female",30,8,2,1,128876,0
15713843,"Kao",850,"Male",30,2,2,0,27937,0
15617603,"Mackay",850,"Male",30,5,2,1,102180,0
15624391,"Thomson",595,"Female",30,5,1,1,178361,0
15727251,"Vincent",642,"Male",30,8,1,0,61978,0
15772995,"Ts'ao",529,"Male",30,2,1,1,75285,0
15645544,"Nekrasov",642,"Female",30,5,1,1,583,0
15774931,"She",452,"Male",30,7,1,1,99017,0
15812338,"Sopuluchukwu",485,"Female",30,7,1,1,107067,0
15707114,"Holder",831,"Male",30,2,2,0,3430,0
15806880,"Boyle",627,"Female",30,6,1,1,113408,0
15750264,"Pinto",757,"Male",30,6,2,1,62972,0
15584930,"Grimmett",726,"Male",30,5,2,1,2704,0
15697879,"Webb",701,"Male",30,3,2,1,45742,0
15700174,"McKay",733,"Female",30,0,1,0,57769,0
15775880,"McElyea",554,"Female",30,9,2,1,40320,0
15756668,"Ross",706,"Male",30,3,1,1,110520,0
15565779,"Kent",627,"Female",30,6,1,1,188258,0
15583576,"Tai",671,"Male",30,2,1,0,102058,0
15672598,"Walker",613,"Male",30,9,1,1,175796,0
15623277,"Ross",696,"Female",30,8,2,1,196134,0
15639077,"Marchesi",622,"Female",30,2,3,1,142343,1
15714397,"Trentino",621,"Female",30,2,2,1,165257,0
15579166,"Munro",619,"Female",30,7,1,1,160949,0
15613713,"Kozlova",644,"Male",30,5,1,1,10771,0
15693259,"Wallace",676,"Male",30,1,1,1,55400,0
15751336,"Yao",630,"Male",30,3,2,0,10487,0
15739357,"Moss",756,"Male",30,2,1,0,7555,0
15727021,"Obialo",727,"Female",30,8,2,1,137904,0
15711834,"Long",650,"Female",30,6,1,0,67997,1
15597896,"Ozoemena",365,"Male",30,0,1,1,81538,1
15724834,"Wilson",498,"Female",30,1,2,0,135796,0
15591179,"Skelton",702,"Male",30,2,2,1,145537,0
15635660,"Rossi",612,"Male",30,9,1,1,105891,1
15670172,"Padovesi",622,"Female",30,4,1,0,196895,0
15730339,"Bell",670,"Male",30,3,1,0,3155,0
15791131,"Chimaijem",551,"Female",30,2,1,1,145796,0
15677217,"Ibragimova",705,"Male",30,1,1,1,181300,0
15595388,"Yeh",594,"Female",30,10,2,1,124072,0
15768244,"Macleod",538,"Female",30,8,2,1,41193,0
15649124,"Fang",850,"Male",30,9,1,0,40313,0
15774224,"Nixon",613,"Female",30,5,2,1,170639,0
15642885,"Gray",792,"Male",30,8,2,1,199644,0
15782530,"Bruce",681,"Male",30,2,1,1,68986,0
15631912,"T'ao",840,"Male",30,8,1,1,54113,0
15773447,"Fomin",526,"Male",30,8,1,1,36251,0
15644296,"Scott",740,"Female",30,8,1,1,1853,0
15724402,"Tyler",770,"Female",30,8,2,1,100557,0
15708228,"Toscani",476,"Male",30,3,1,1,68344,0
15697424,"Ku",597,"Female",30,2,1,1,182726,1
15622171,"Nnamdi",642,"Male",30,8,2,1,174738,0
15780572,"Mansom",653,"Male",30,4,2,1,120736,0
15674331,"Bidwill",576,"Male",30,7,2,0,93767,0
15575247,"Cartwright",524,"Male",30,1,2,1,126813,0
15779744,"Chou",537,"Male",30,1,1,1,96555,0
15807837,"Mazzanti",640,"Female",30,6,1,1,187632,0
15748589,"Winter",736,"Female",30,9,2,1,34180,0
15681327,"Akhtar",682,"Male",30,9,2,1,2053,0
15600626,"Bradley",710,"Male",30,6,2,1,8991,0
15722404,"Carpenter",445,"Female",30,3,2,1,127939,0
15784130,"He",850,"Female",30,8,1,1,54191,0
15806956,"Iqbal",746,"Male",30,1,1,0,11710,1
15807993,"Bruno",588,"Female",30,0,1,1,5791,1
15802060,"Ch'ang",646,"Female",30,10,2,0,136984,0
15795129,"Gallo",799,"Female",30,9,2,1,136828,0
15598700,"Hysell",676,"Female",30,5,2,0,157889,0
15602124,"Badgery",731,"Male",30,7,2,1,184582,0
15609458,"Vincent",797,"Male",30,10,1,1,74638,0
15601796,"Chizuoke",645,"Male",30,1,1,1,193441,0
15707551,"Hutcheon",568,"Male",30,8,2,1,27012,0
15670562,"Pharr",470,"Male",30,3,1,1,50907,0
15746802,"Onio",477,"Female",30,6,1,1,194144,0
15642093,"Piccio",646,"Male",30,7,2,1,153567,0
15714610,"Alexeeva",575,"Male",30,2,2,1,82223,0
15634310,"Ko",509,"Male",30,6,2,1,180599,0
15714256,"Gerasimov",666,"Male",30,7,1,0,163626,0
15718789,"Brigstocke",604,"Male",30,5,2,1,75787,0
15809838,"Moore",697,"Male",30,1,2,0,736,0
15634143,"Onyemauchechi",581,"Male",30,0,1,0,196582,0
15763107,"Little",700,"Female",30,9,1,1,174972,0
15757588,"Wright",526,"Male",30,9,2,0,100996,0
15777504,"Colbert",617,"Female",30,8,1,1,92622,0
15577751,"Pisano",759,"Male",30,4,1,0,8694,0
15711991,"Chiawuotu",615,"Male",30,8,2,0,3183,0
15763980,"Beneventi",632,"Male",30,1,1,1,78671,0
15581811,"Chukwubuikem",678,"Female",30,1,2,0,16146,0
15772412,"Corser",554,"Male",30,6,1,1,179689,1
15756425,"Barnes",660,"Male",30,7,1,0,96848,0
15579914,"Garcia",633,"Male",30,2,2,1,139713,0
15659234,"Y?",494,"Male",30,3,1,0,27886,0
15777759,"Boucaut",570,"Male",30,2,1,1,47952,0
15628583,"Iweobiegbunam",709,"Female",30,5,2,0,161388,0
15761654,"Boni",726,"Male",30,8,1,1,147822,0
15763613,"Barlow",581,"Male",30,1,2,1,199464,0
15799964,"Campbell",669,"Female",30,7,1,1,188796,0
15627881,"Diehl",603,"Male",30,8,2,1,47536,0
15571666,"Shaw",642,"Male",30,8,1,0,43251,0
15706116,"McKay",659,"Female",30,8,1,1,40441,0
15639590,"Melendez",758,"Female",30,3,1,1,156249,0
15787848,"Chinedum",602,"Male",30,9,2,0,102136,0
15618661,"Chidubem",535,"Male",30,6,1,1,125711,0
15620758,"Martel",660,"Male",30,4,2,1,129149,0
15634491,"Kung",652,"Male",30,2,2,1,152211,0
15627999,"Kung",590,"Male",30,3,2,1,83090,0
15569670,"Alexeyeva",627,"Male",30,6,1,1,118029,0
15665963,"Cattaneo",681,"Male",30,2,1,1,180593,0
15569120,"Lucas",615,"Male",30,7,2,1,156347,0
15723721,"Tinline",543,"Male",30,4,1,1,157711,0
15789498,"Miller",562,"Male",30,3,2,0,140650,0
15642709,"Feng",474,"Female",30,9,2,0,63158,0
15579559,"Chienezie",544,"Male",30,8,1,1,80677,0
15682421,"Talbot",683,"Female",30,2,2,0,100497,1
15691910,"Lu",663,"Male",30,4,3,1,101371,0
15633866,"Hsiung",753,"Male",30,1,1,1,57896,0
15660840,"Kalinin",723,"Male",30,3,1,1,162198,0
15659194,"Mishina",628,"Male",30,8,1,1,13127,0
15652180,"Egobudike",582,"Male",30,2,2,1,132030,0
15709412,"H?",776,"Male",30,6,2,0,63909,0
15644788,"Fyodorov",731,"Female",30,5,2,1,189529,0
15733476,"Gonzalez",543,"Male",30,6,1,1,176693,0
15786249,"Whitfield",616,"Male",30,2,2,1,199100,0
15763381,"Chan",496,"Male",30,0,1,0,27802,0
15803947,"Teng",757,"Female",30,6,1,0,71926,1
15662662,"Duigan",573,"Female",30,6,2,1,66190,0
15695872,"Fiorentini",712,"Female",30,1,1,1,177613,0
15717156,"Sokolov",520,"Male",30,3,2,1,899,0
15610379,"Barclay-Harvey",599,"Male",30,9,1,1,121125,0
15763515,"Shih",513,"Male",30,5,2,1,162524,0
15757867,"Bray",570,"Female",30,10,1,1,97045,1
15645136,"O'Donnell",744,"Male",30,1,1,1,121525,0
15731519,"Kerr",511,"Female",30,5,2,1,143995,0
15645744,"Chukwudi",826,"Female",30,5,2,0,157398,0
15709861,"He",766,"Male",30,4,2,1,28879,0
15644132,"Mancini",724,"Female",30,9,1,1,107848,0
15606887,"Singh",775,"Female",30,5,1,1,193881,1
15697480,"Menkens",731,"Male",30,7,2,0,143086,0
15752912,"Perkin",661,"Female",30,7,2,1,72197,0
15720463,"Ho",796,"Male",30,2,2,1,62905,0
15806945,"Udobata",611,"Female",30,9,1,1,196332,0
15592197,"Simmons",522,"Male",30,3,2,1,145491,0
15687607,"Chiemenam",605,"Female",30,9,1,0,186419,0
15585907,"Collier",676,"Female",30,5,2,0,179067,0
15657829,"Fanucci",806,"Male",30,8,1,1,85028,1
15719170,"Sagese",679,"Female",30,1,1,1,179435,0
15637411,"Tochukwu",749,"Male",30,1,2,0,126552,0
15656717,"Elewechi",687,"Female",30,6,2,0,179207,0
15761364,"Nkemjika",679,"Male",30,9,2,1,157872,0
15608760,"Cox",656,"Female",30,4,1,1,22929,0
15651740,"Napolitani",525,"Female",30,5,2,0,149195,0
15709523,"Yao",525,"Female",30,0,2,1,100688,0
15673074,"Obidimkpa",527,"Female",30,6,1,1,162268,0
15674868,"Wei",696,"Female",30,0,2,1,9003,0
15581332,"Pan",655,"Female",30,1,2,1,184260,0
15799998,"Cunningham",608,"Female",30,8,1,0,142730,0
15722813,"Byrne",470,"Male",30,4,1,1,68294,0
15579223,"Niu",573,"Male",30,8,1,1,192951,0
15611287,"Chiu",777,"Female",30,4,2,0,115612,0
15652069,"Calabrese",833,"Male",30,1,2,1,141861,0
15787884,"Martin",692,"Female",30,7,2,1,18826,0
15720134,"Reynolds",709,"Male",30,9,2,1,134733,0
15685826,"Hsiung",563,"Male",30,7,1,1,122269,0
15809462,"Polyakova",656,"Male",30,3,2,0,17104,0
15654457,"Cross",685,"Female",30,2,3,1,172576,1
15678460,"Dodgshun",691,"Male",30,9,1,1,49594,0
15680685,"Patterson",751,"Male",30,3,1,0,134822,0
15656188,"Davis",584,"Female",30,5,2,1,185202,0
15683168,"Frederickson",572,"Female",30,6,1,0,175025,0
15704081,"Findlay",595,"Male",30,9,2,1,57863,0
15731166,"Macleod",743,"Female",30,1,1,1,138781,0
15723827,"Macartney",683,"Male",30,4,1,0,183171,0
15598802,"Martin",770,"Male",30,8,2,0,50840,0
15744273,"Waterhouse",637,"Male",30,6,2,1,65618,0
15636521,"Feng",744,"Female",30,1,1,1,142211,0
15632789,"Maclean",794,"Male",30,8,2,1,24114,0
15664615,"Nnachetam",689,"Female",30,5,1,1,41866,1
15570990,"Begley",520,"Female",30,4,2,0,145161,0
15799785,"Ikemefuna",679,"Female",30,4,1,1,121151,0
15672637,"Voronkov",571,"Female",30,4,1,1,145116,0
15730360,"Mackenzie",502,"Male",30,4,2,1,66264,0
15757933,"Hardy",733,"Female",30,1,1,1,21557,0
15624850,"Grant",850,"Male",30,10,2,1,62811,0
15740411,"Molle",636,"Male",30,8,2,1,109686,0
15622083,"Paterson",647,"Male",30,6,2,1,2955,0
15772941,"Lane",666,"Male",30,3,1,0,74849,0
15586174,"Brodney",700,"Female",30,4,1,1,134417,0
15779207,"Nnamdi",500,"Male",30,2,2,1,68807,0
15569917,"Obijiaku",706,"Male",30,6,2,0,137675,1
15696120,"Wallace",701,"Female",30,2,2,1,115651,0
15748691,"Lung",794,"Female",30,1,1,0,156768,0
15762392,"Ilyina",683,"Male",30,1,1,1,65035,0
15788215,"Hsia",535,"Female",30,5,1,0,62391,1
