#EMPLOYEName                                                                            EMAIL                    PHONE_NUMBER        HIRE_DATE          JOB_ID    SALARY    COMMMANAGER_DEPARTTOT_SAL     COMMISSION  
     100Steven, King                                                                    SKING                    515.123.4567        06/17/2003 00:00:00AD_PRES     24000.00*   *           90       24000           0
     101Neena, Kochhar                                                                  NKOCHHAR                 515.123.4568        09/21/2005 00:00:00AD_VP       17000.00*        100    90       17000           0
     102Lex, De Haan                                                                    LDEHAAN                  515.123.4569        01/13/2001 00:00:00AD_VP       17000.00*        100    90       17000           0
     103Alexander, Hunold                                                               AHUNOLD                  590.423.4567        01/03/2006 00:00:00IT_PROG      9000.00*        102    60        9000           0
     104Bruce, Ernst                                                                    BERNST                   590.423.4568        05/21/2007 00:00:00IT_PROG      6000.00*        103    60        6000           0
     105David, Austin                                                                   DAUSTIN                  590.423.4569        06/25/2005 00:00:00IT_PROG      4800.00*        103    60        4800           0
     106Valli, Pataballa                                                                VPATABAL                 590.423.4560        02/05/2006 00:00:00IT_PROG      4800.00*        103    60        4800           0
     107Diana, Lorentz                                                                  DLORENTZ                 590.423.5567        02/07/2007 00:00:00IT_PROG      4200.00*        103    60        4200           0
     108Nancy, Greenberg                                                                NGREENBE                 515.124.4569        08/17/2002 00:00:00FI_MGR      12008.00*        101   100       12008           0
     109Daniel, Faviet                                                                  DFAVIET                  515.124.4169        08/16/2002 00:00:00FI_ACCOUNT   9000.00*        108   100        9000           0
     110John, Chen                                                                      JCHEN                    515.124.4269        09/28/2005 00:00:00FI_ACCOUNT   8200.00*        108   100        8200           0
     111Ismael, Sciarra                                                                 ISCIARRA                 515.124.4369        09/30/2005 00:00:00FI_ACCOUNT   7700.00*        108   100        7700           0
     112Jose Manuel, Urman                                                              JMURMAN                  515.124.4469        03/07/2006 00:00:00FI_ACCOUNT   7800.00*        108   100        7800           0
     113Luis, Popp                                                                      LPOPP                    515.124.4567        12/07/2007 00:00:00FI_ACCOUNT   6900.00*        108   100        6900           0
     114Den, Raphaely                                                                   DRAPHEAL                 515.127.4561        12/07/2002 00:00:00PU_MAN      11000.00*        100    30       11000           0
     115Alexander, Khoo                                                                 AKHOO                    515.127.4562        05/18/2003 00:00:00PU_CLERK     3100.00*        114    30        3100           0
     116Shelli, Baida                                                                   SBAIDA                   515.127.4563        12/24/2005 00:00:00PU_CLERK     2900.00*        114    30        2900           0
     117Sigal, Tobias                                                                   STOBIAS                  515.127.4564        07/24/2005 00:00:00PU_CLERK     2800.00*        114    30        2800           0
     118Guy, Himuro                                                                     GHIMURO                  515.127.4565        11/15/2006 00:00:00PU_CLERK     2600.00*        114    30        2600           0
     119Karen, Colmenares                                                               KCOLMENA                 515.127.4566        08/10/2007 00:00:00PU_CLERK     2500.00*        114    30        2500           0
